datetime,stockprice,price
2018/5/16,openingprice,7500
2018/5/16,closingprice,7551
2018/5/16,highprice,7608
2018/5/16,lowprice,7494
2018/5/16,tradevolum,5838500
2018/5/17,openingprice,7597
2018/5/17,closingprice,7555
2018/5/17,highprice,7619
2018/5/17,lowprice,7555
2018/5/17,tradevolum,4343500
2018/5/18,openingprice,7589
2018/5/18,closingprice,7571
2018/5/18,highprice,7600
2018/5/18,lowprice,7542
2018/5/18,tradevolum,3993500
2018/5/2,openingprice,7201
2018/5/2,closingprice,7165
2018/5/2,highprice,7205
2018/5/2,lowprice,7138
2018/5/2,tradevolum,3143000
2018/5/21,openingprice,7600
2018/5/21,closingprice,7562
2018/5/21,highprice,7626
2018/5/21,lowprice,7555
2018/5/21,tradevolum,5037100
2018/5/22,openingprice,7563
2018/5/22,closingprice,7527
2018/5/22,highprice,7578
2018/5/22,lowprice,7508
2018/5/22,tradevolum,4023100
2018/5/23,openingprice,7555
2018/5/23,closingprice,7435
2018/5/23,highprice,7571
2018/5/23,lowprice,7427
2018/5/23,tradevolum,6625200
2018/5/24,openingprice,7371
2018/5/24,closingprice,7208
2018/5/24,highprice,7379
2018/5/24,lowprice,7190
2018/5/24,tradevolum,8562700
2018/5/25,openingprice,7158
2018/5/25,closingprice,7115
2018/5/25,highprice,7198
2018/5/25,lowprice,7106
2018/5/25,tradevolum,6081700
2018/5/28,openingprice,7115
2018/5/28,closingprice,7052
2018/5/28,highprice,7138
2018/5/28,lowprice,7015
2018/5/28,tradevolum,5135100
2018/5/29,openingprice,7021
2018/5/29,closingprice,6976
2018/5/29,highprice,7048
2018/5/29,lowprice,6976
2018/5/29,tradevolum,5250000
2018/5/30,openingprice,6856
2018/5/30,closingprice,6841
2018/5/30,highprice,6886
2018/5/30,lowprice,6825
2018/5/30,tradevolum,8857000
2018/5/31,openingprice,6920
2018/5/31,closingprice,6921
2018/5/31,highprice,6994
2018/5/31,lowprice,6913
2018/5/31,tradevolum,34476900
2018/5/7,openingprice,7197
2018/5/7,closingprice,7201
2018/5/7,highprice,7209
2018/5/7,lowprice,7145
2018/5/7,tradevolum,3132300
2018/5/8,openingprice,7189
2018/5/8,closingprice,7155
2018/5/8,highprice,7209
2018/5/8,lowprice,7120
2018/5/8,tradevolum,4215700
2018/5/9,openingprice,7120
2018/5/9,closingprice,7424
2018/5/9,highprice,7426
2018/5/9,lowprice,7081
2018/5/9,tradevolum,16844400
2018/6/1,openingprice,6950
2018/6/1,closingprice,7122
2018/6/1,highprice,7166
2018/6/1,lowprice,6941
2018/6/1,tradevolum,12928000
2018/6/11,openingprice,7477
2018/6/11,closingprice,7492
2018/6/11,highprice,7516
2018/6/11,lowprice,7431
2018/6/11,tradevolum,5477100
2018/6/12,openingprice,7526
2018/6/12,closingprice,7397
2018/6/12,highprice,7529
2018/6/12,lowprice,7395
2018/6/12,tradevolum,6780100
2018/6/13,openingprice,7459
2018/6/13,closingprice,7496
2018/6/13,highprice,7524
2018/6/13,lowprice,7453
2018/6/13,tradevolum,6062700
2018/6/14,openingprice,7443
2018/6/14,closingprice,7429
2018/6/14,highprice,7503
2018/6/14,lowprice,7420
2018/6/14,tradevolum,5995600
2018/6/15,openingprice,7510
2018/6/15,closingprice,7562
2018/6/15,highprice,7568
2018/6/15,lowprice,7505
2018/6/15,tradevolum,10035000
2018/6/18,openingprice,7525
2018/6/18,closingprice,7530
2018/6/18,highprice,7606
2018/6/18,lowprice,7505
2018/6/18,tradevolum,7387600
2018/6/19,openingprice,7500
2018/6/19,closingprice,7470
2018/6/19,highprice,7588
2018/6/19,lowprice,7461
2018/6/19,tradevolum,8106100
2018/6/20,openingprice,7497
2018/6/20,closingprice,7448
2018/6/20,highprice,7518
2018/6/20,lowprice,7391
2018/6/20,tradevolum,7581700
2018/6/21,openingprice,7446
2018/6/21,closingprice,7396
2018/6/21,highprice,7478
2018/6/21,lowprice,7395
2018/6/21,tradevolum,5748400
2018/6/22,openingprice,7271
2018/6/22,closingprice,7199
2018/6/22,highprice,7298
2018/6/22,lowprice,7156
2018/6/22,tradevolum,10416200
2018/6/25,openingprice,7230
2018/6/25,closingprice,7091
2018/6/25,highprice,7240
2018/6/25,lowprice,7091
2018/6/25,tradevolum,5529800
2018/6/26,openingprice,7050
2018/6/26,closingprice,7081
2018/6/26,highprice,7110
2018/6/26,lowprice,6993
2018/6/26,tradevolum,5388100
2018/6/27,openingprice,7120
2018/6/27,closingprice,7039
2018/6/27,highprice,7124
2018/6/27,lowprice,7004
2018/6/27,tradevolum,5324700
2018/6/28,openingprice,7098
2018/6/28,closingprice,7116
2018/6/28,highprice,7128
2018/6/28,lowprice,7062
2018/6/28,tradevolum,6049300
2018/6/29,openingprice,7130
2018/6/29,closingprice,7170
2018/6/29,highprice,7197
2018/6/29,lowprice,7063
2018/6/29,tradevolum,7184000
2018/6/4,openingprice,7199
2018/6/4,closingprice,7401
2018/6/4,highprice,7410
2018/6/4,lowprice,7192
2018/6/4,tradevolum,10315300
2018/6/5,openingprice,7401
2018/6/5,closingprice,7345
2018/6/5,highprice,7408
2018/6/5,lowprice,7322
2018/6/5,tradevolum,7521500
2018/6/6,openingprice,7371
2018/6/6,closingprice,7474
2018/6/6,highprice,7478
2018/6/6,lowprice,7371
2018/6/6,tradevolum,7765600
2018/6/7,openingprice,7530
2018/6/7,closingprice,7527
2018/6/7,highprice,7615
2018/6/7,lowprice,7505
2018/6/7,tradevolum,11112900
2018/6/8,openingprice,7473
2018/6/8,closingprice,7480
2018/6/8,highprice,7544
2018/6/8,lowprice,7460
2018/6/8,tradevolum,9000600
